"","WorkingName","Lifestyle.stage.","Resolution","BodySize.g.","Kingdom","Phylum","Subphylum","Class","Subclass","Order","Suborder","Family","Genus","SpecificEpithet"
"206","Himasthla rhigedana","free-living","Species",6.18e-06,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Echinostomatidae","Himasthla","rhigedana"
"207","Himasthla B","free-living","Species",4.19e-06,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Echinostomatidae","Himasthla","B"
"208","Hysterolecitha trilocalis","free-living","Species",NA,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Hemiuridae","Hysterolecitha","trilocalis"
"209","Lecisthaster sp.","free-living","Species",NA,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Lecisthasteridae","Lecisthaster","sp."
"210","Renicola sp.","free-living","Species",4.95e-07,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Renicolidae","Renicola","sp."
"211","mc sphere","free-living","Species",NA,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Microphallidae","",""
"212","mc unk Bittium","free-living","Species",NA,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","","",""
"213","mc unk lg-cirriformia","free-living","Species",NA,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","","",""
"214","mc unk pericaridean","free-living","Species",NA,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","","",""
"215","mc unk poly","free-living","Species",NA,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","","",""
"216","mc vs","free-living","Species",NA,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","","",""
"217","mega het","free-living","Species",NA,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","","",""
"218","Mesostephanus appendiculatus","free-living","Species",6.28e-07,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Cyathocotylidae","Mesostephanus","appendiculatus"
"219","Parorchis acanthus","free-living","Species",2.36e-06,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Philophthalmidae","Parorchis","acanthus"
"220","Phocitremoides ovale","free-living","Species",2.97e-07,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Heterophyidae","Phocitremoides","ovale"
"221","Probolocoryphe species A","free-living","Species",1.48e-07,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Microphallidae","Probolocoryphe","species A"
"222","Pygidiopsoides spindalis","free-living","Species",5.31e-08,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Heterophyidae","Pygidiopsoides","spindalis"
"223","Renicola buchanani","free-living","Species",1.36e-06,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Renicolidae","Renicola","buchanani"
"224","Renicola cerithidicola","free-living","Species",9.24e-08,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Renicolidae","Renicola","cerithidicola"
"225","renic","free-living","Species",9.24e-08,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Renicolidae","",""
"226","small cyathocotylid","free-living","Species",2.59e-07,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Cyathocotylidae","",""
"227","Maritrema sp.","free-living","Species",1.07e-07,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Microphallidae","Maritrema","sp."
"228","Stictodora hancocki","free-living","Species",6.28e-07,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Heterophyidae","Stictodora","hancocki"
"229","unk a/sm meso","free-living","Species",NA,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Cyathocotylidae","",""
"230","Catatropis johnstoni","commensal","Species",1.2e-06,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Notocotylidae","Catatropis","johnstoni"
"231","Cloacitrema michiganiensis","commensal","Species",1.57e-05,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Philophthalmidae","Cloacitrema","michiganiensis"
"232","Himasthla rhigedana","commensal","Species",5.79e-05,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Echinostomatidae","Himasthla","rhigedana"
"233","Parorchis acanthus","commensal","Species",1.57e-05,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Philophthalmidae","Parorchis","acanthus"
"234","Acanthoparyphium spinulosum","infectious","Species",3.72e-05,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Echinostomatidae","Acanthoparyphium","spinulosum"
"235","microphallid-assiminea","infectious","Species",0.00010115,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Microphallidae","",""
"236","Euhaplorchis californiensis","infectious","Species",1.38e-06,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Heterophyidae","Euhaplorchis","californiensis"
"237","fat cyathocotylid","infectious","Species",1.7e-06,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Cyathocotylidae","",""
"238","Galactosomum humbargari","infectious","Species",0.00018699,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Heterophyidae","Galactosomum","humbargari"
"239","hemiurid","infectious","Species",NA,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Hemiuridae","",""
"240","Himasthla B","infectious","Species",8.27e-05,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Echinostomatidae","Himasthla","B"
"241","Hysterolecitha trilocalis","infectious","Species",NA,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Hemiuridae","Hysterolecitha","trilocalis"
"242","Lecisthaster sp.","infectious","Species",NA,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Lecisthasteridae","Lecisthaster","sp."
"243","Renicola sp.","infectious","Species",1.17e-05,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Renicolidae","Renicola","sp."
"244","mc sphere","infectious","Species",5.61e-05,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Microphallidae","",""
"245","mc unk Bittium","infectious","Species",8.72e-05,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","","",""
"246","mc unk lg-cirriformia","infectious","Species",8.27e-05,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","","",""
"247","mc unk pericaridean","infectious","Species",4.31e-05,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","","",""
"248","mc unk poly","infectious","Species",1.17e-05,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","","",""
"249","mc vs","infectious","Species",1.17e-05,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","","",""
"250","mega het","infectious","Species",0.000158,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","","",""
"251","Mesostephanus appendiculatus","infectious","Species",1.98e-05,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Cyathocotylidae","Mesostephanus","appendiculatus"
"252","Phocitremoides ovale","infectious","Species",2.83e-06,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Heterophyidae","Phocitremoides","ovale"
"253","Probolocoryphe species A","infectious","Species",4.312e-05,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Microphallidae","Probolocoryphe","species A"
"254","Pygidiopsoides spindalis","infectious","Species",1.3e-07,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Heterophyidae","Pygidiopsoides","spindalis"
"255","Renicola buchanani","infectious","Species",3.74e-06,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Renicolidae","Renicola","buchanani"
"256","Renicola cerithidicola","infectious","Species",2.2e-06,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Renicolidae","Renicola","cerithidicola"
"257","renic","infectious","Species",5.23e-05,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Renicolidae","",""
"258","small cyathocotylid","infectious","Species",8.32e-07,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Cyathocotylidae","",""
"259","Maritrema sp.","infectious","Species",5.28e-05,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Microphallidae","Maritrema","sp."
"260","Stictodora hancocki","infectious","Species",3.37e-06,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Heterophyidae","Stictodora","hancocki"
"261","unk a/sm meso","infectious","Species",3.09e-06,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Cyathocotylidae","",""
"262","Glossocercus sp.","infectious","Species",0.0356,"Animalia","Platyhelminthes","","Cestoda","","Cyclophyllidea","","Dilepididae","Glossocercus","sp."
"263","tetraphyllidean-fish","infectious","Species",NA,"Animalia","Platyhelminthes","","Cestoda","","Tetraphyllidea","","","",""
"264","trypanorhynch-fish","infectious","Species",NA,"Animalia","Platyhelminthes","","Cestoda","","Trypanorhyncha","","","",""
"265","trypanorhynch-thalassinidean","infectious","Species",NA,"Animalia","Platyhelminthes","","Cestoda","","Trypanorhyncha","","","",""
"266","Glossocercus sp.","infectious","Species",NA,"Animalia","Platyhelminthes","","Cestoda","","Cyclophyllidea","","Dilepididae","Glossocercus","sp."
"267","Glossocercus sp.","infectious","Species",0.000222,"Animalia","Platyhelminthes","","Cestoda","","Cyclophyllidea","","Dilepididae","Glossocercus","sp."
"268","tetraphyllidean-fish","infectious","Species",3.65e-05,"Animalia","Platyhelminthes","","Cestoda","","Tetraphyllidea","","","",""
"269","trypanorhynch-fish","infectious","Species",0.000426,"Animalia","Platyhelminthes","","Cestoda","","Trypanorhyncha","","","",""
"270","trypanorhynch-thalassinidean","infectious","Species",0.000426,"Animalia","Platyhelminthes","","Cestoda","","Trypanorhyncha","","","",""
"271","Spirocamallanus pereirae","infectious","Species",0.00117,"Animalia","Nematoda","","","","Spirurida","","Camallanidae","Spirocamallanus","pereirae"
"272","Vasorhabdochona cablei","infectious","Species",0.000198,"Animalia","Nematoda","","","","","","Rhabdochonidae","Vasorhabdochona","cablei"
"273","Ascarophis? (Neotrypaea)","infectious","Species",0.0002413,"Animalia","Nematoda","","","","","","","",""
"274","neme-long","infectious","Species",1.97e-05,"Animalia","Nematoda","","","","","","","",""
"275","Spirocamallanus pereirae","infectious","Species",4.32e-09,"Animalia","Nematoda","","","","Spirurida","","Camallanidae","Spirocamallanus","pereirae"
"276","Vasorhabdochona cablei","infectious","Species",NA,"Animalia","Nematoda","","","","","","Rhabdochonidae","Vasorhabdochona","cablei"
"277","cystacanth-pachygrapsus","infectious","Species",NA,"Animalia","Acanthocephala","","","","","","","",""
"278","cystacanth-fish b.cav","infectious","Species",NA,"Animalia","Acanthocephala","","","","","","","",""
"279","cystacanth-pachygrapsus","infectious","Species",0.0013,"Animalia","Acanthocephala","","","","","","","",""
"280","cystacanth-fish b.cav","infectious","Species",0.0041,"Animalia","Acanthocephala","","","","","","","",""
"281","Ceratothoa sp.","infectious","Species",0.236,"Animalia","Arthropoda","Crustacea","","","Isopoda","","Cymothoidae","Ceratothoa","sp."
"282","Leidya sp.","infectious","Species",0.11780626,"Animalia","Arthropoda","Crustacea","","","Isopoda","","Bopyridae","Leidya","sp."
"283","Lironeca californica","infectious","Species",0.16198837,"Animalia","Arthropoda","Crustacea","","","Isopoda","","Cymothoidae","Lironeca","californica"
"284","Leidya sp.","infectious","Species",NA,"Animalia","Arthropoda","Crustacea","","","Isopoda","","Bopyridae","Leidya","sp."
"285","Salt Grass","free-living","Species",NA,"Plantae","","","Angiospermae","","","","Poaceae","Distichlis","spicata"
"286","California Sea Lavender","free-living","Species",NA,"Plantae","","","Angiospermae","","","","Plumbaginaceae","Limonium","californicum"
"287","Capitella capitata","free-living","Species",0.00288468,"Animalia","Annelida","","Polychaeta","","","","Capitellidae","Capitella","capitata"
"288","Polydora nuchalis","free-living","Species",0.00323541,"Animalia","Annelida","","Polychaeta","","","","Spionidae","Polydora","nuchalis"
"289","Polydora nuchalis","free-living","Species",3.37e-05,"Animalia","Annelida","","Polychaeta","","","","Spionidae","Polydora","nuchalis"
"290","Carcinonemertes sp.","infectious","Species",0.000176,"Animalia","Nemertea","","","","","","Carcinonemertidae","Carcinonemertes","sp."
"291","Carinoma mutabilis","free-living","Species",0.00192876,"Animalia","Nemertea","","","","","","Carinomidae","Carinoma","mutabilis"
"292","nemertean","free-living","Species",0.00162242,"Animalia","Nemertea","","","","","","","",""
"293","California Softshell Clam","free-living","Species",0.35478198,"Animalia","Mollusca","","Bivalvia","","","","Myidae","Cryptomya","californica"
"294","Bent-nosed Clam","free-living","Species",6.59637917,"Animalia","Mollusca","","Bivalvia","","","","Tellinidae","Macoma","nasuta"
"295","White Sand Macoma","free-living","Species",26.0738713,"Animalia","Mollusca","","Bivalvia","","","","Tellinidae","Macoma","secta"
"296","Blue Mussel","free-living","Species",27.577,"Animalia","Mollusca","","Bivalvia","","","","Mytilidae","Mytilus","galloprovincialis"
"297","California Mahogany Clam","free-living","Species",44.6619368,"Animalia","Mollusca","","Bivalvia","","","","Psammobiidae","Nuttallia","nuttallii"
"298","Pacific Littleneck Clam","free-living","Species",18.652076,"Animalia","Mollusca","","Bivalvia","","","","Veneridae","Protothaca","staminea"
"299","Butter Clam","free-living","Species",153,"Animalia","Mollusca","","Bivalvia","","","","Veneridae","Saxidomus","nuttalli"
"300","Fat Jackknife Clam","free-living","Species",6.57,"Animalia","Mollusca","","Bivalvia","","","","Psammobiidae","Tagelus","affinis"
"301","California Jackknife Clam","free-living","Species",20.1,"Animalia","Mollusca","","Bivalvia","","","","Psammobiidae","Tagelus","californianus"
"302","Lesser Tagelus","free-living","Species",9.81,"Animalia","Mollusca","","Bivalvia","","","","Psammobiidae","Tagelus","subteres"
"303","California Softshell Clam","free-living","Species",3.63e-05,"Animalia","Mollusca","","Bivalvia","","","","Myidae","Cryptomya","californica"
"304","Bent-nosed Clam","free-living","Species",3.63e-05,"Animalia","Mollusca","","Bivalvia","","","","Tellinidae","Macoma","nasuta"
"305","White Sand Macoma","free-living","Species",3.63e-05,"Animalia","Mollusca","","Bivalvia","","","","Tellinidae","Macoma","secta"
"306","California Mahogany Clam","free-living","Species",3.63e-05,"Animalia","Mollusca","","Bivalvia","","","","Psammobiidae","Nuttallia","nuttallii"
"307","Pacific Littleneck Clam","free-living","Species",3.63e-05,"Animalia","Mollusca","","Bivalvia","","","","Veneridae","Protothaca","staminea"
"308","Butter Clam","free-living","Species",3.63e-05,"Animalia","Mollusca","","Bivalvia","","","","Veneridae","Saxidomus","nuttalli"
"309","Fat Jackknife Clam","free-living","Species",3.63e-05,"Animalia","Mollusca","","Bivalvia","","","","Psammobiidae","Tagelus","affinis"
"310","California Jackknife Clam","free-living","Species",3.63e-05,"Animalia","Mollusca","","Bivalvia","","","","Psammobiidae","Tagelus","californianus"
"311","Lesser Tagelus","free-living","Species",3.63e-05,"Animalia","Mollusca","","Bivalvia","","","","Psammobiidae","Tagelus","subteres"
"312","Acteocina inculta","free-living","Species",0.00736,"Animalia","Mollusca","","Gastropoda","","","","Scaphandridae","Acteocina","inculta"
"313","California Assiminea","free-living","Species",0.00202,"Animalia","Mollusca","","Gastropoda","","","","Assimineidae","Assiminea","californica"
"314","California Horn Snail","free-living","Species",1.21,"Animalia","Mollusca","","Gastropoda","","","","Potamididae","Cerithidea","californica"
"315","Salt Marsh Snail","free-living","Species",0.21,"Animalia","Mollusca","","Gastropoda","","","","Ellobiidae","Melampus","olivaceus"
"316","Argulus","free-living","Genus",0.000264,"Animalia","Arthropoda","Crustacea","Branchiura","","","","Argulidae","Argulus",""
"317","corophiid?","free-living","Species",0.00573086,"Animalia","Arthropoda","Crustacea","Malacostraca","","Amphipoda","","Corophiidae","",""
"318","dipteran b","free-living","Species",0.00942176,"Animalia","Arthropoda","Hexapoda","","","Diptera","","","",""
"319","green gammaridean","free-living","Species",0.00461043,"Animalia","Arthropoda","Crustacea","Malacostraca","","Amphipoda","Gammaridea","","",""
"320","oniscidean","free-living","Species",0.00242802,"Animalia","Arthropoda","Crustacea","Malacostraca","","Isopoda","Oniscidea","","",""
"321","Pardosa sp.","free-living","Species",0.01040481,"Animalia","Arthropoda","Chelicerata","Arachnida","","Aranae","","Lycosidae","Pardosa","sp."
"322","dipteran b","free-living","Species",0.00686,"Animalia","Arthropoda","Hexapoda","","","Diptera","","","",""
"323","Ephydra","free-living","Species",0.045,"Animalia","Arthropoda","Hexapoda","","","Diptera","","Ephydridae","",""
"324","dipteran b","free-living","Species",0.00942,"Animalia","Arthropoda","Hexapoda","","","Diptera","","","",""
"325","Calfornia Ghost Shrimp","free-living","Species",4.75,"Animalia","Arthropoda","Crustacea","Malacostraca","","Decapoda","","Callianassidae","Neotrypaea","californiensis"
"326","Southern Mud Shrimp","free-living","Species",8.19,"Animalia","Arthropoda","Crustacea","Malacostraca","","Decapoda","","Upogebiidae","Upogebia","macginitieorum"
"327","Green Shore Crab","free-living","Species",1.17,"Animalia","Arthropoda","Crustacea","Malacostraca","","Decapoda","","Grapsidae","Hemigrapsus","oregonensis"
"328","Striped Shore Crab","free-living","Species",8.29,"Animalia","Arthropoda","Crustacea","Malacostraca","","Decapoda","","Grapsidae","Pachygrapsus","crassipes"
"329","Fiddler Crab","free-living","Species",1.86,"Animalia","Arthropoda","Crustacea","Malacostraca","","Decapoda","","Oxypodidae","Uca","crenulata"
"330","Yellow-fin Goby","free-living","Species",26.9,"Animalia","Chordata","Vertebrata","Osteichthyes","","Perciformes","","Gobiidae","Acanthogobius","flavimanus"
"331","Topsmelt","free-living","Species",2.59261677,"Animalia","Chordata","Vertebrata","Osteichthyes","","Atheriniformes","","Atherinopsidae","Atherinops","affinis"
"332","Arrow Goby","free-living","Species",0.3380892,"Animalia","Chordata","Vertebrata","Osteichthyes","","Perciformes","","Gobiidae","Clevelandia","ios"
"333","Shiner Surfperch","free-living","Species",3.67831145,"Animalia","Chordata","Vertebrata","Osteichthyes","","Perciformes","","Embiotocidae","Cymatogaster","aggregata"
"334","California Killifish","free-living","Species",0.50501708,"Animalia","Chordata","Vertebrata","Osteichthyes","","Cyprinodontiformes","","Fundulidae","Fundulus","parvipinnis"
"335","Long-jawed Mudsucker","free-living","Species",19.4152654,"Animalia","Chordata","Vertebrata","Osteichthyes","","Perciformes","","Gobiidae","Gillichthys","mirabilis"
"336","Diamond Turbot","free-living","Species",24.6492672,"Animalia","Chordata","Vertebrata","Osteichthyes","","Pleuronectiformes","","Plueronectidae","Hypsopsetta","guttulata"
"337","Staghorn Sculpin","free-living","Species",28.5679949,"Animalia","Chordata","Vertebrata","Osteichthyes","","Perciformes","","Cottidae","Leptocottus","armatus"
"338","California Halibut","free-living","Species",35.3681077,"Animalia","Chordata","Vertebrata","Osteichthyes","","Pleuronectiformes","","Paralichthyidae","Paralichthys","californicus"
"339","Leopard Shark","free-living","Species",1314.95447,"Animalia","Chordata","Vertebrata","Chondrichthyes","","Carcharhiniformes","","Triakidae","Triakis","semifasciata"
"340","American Avocet","free-living","Species",304.3,"Animalia","Chordata","Vertebrata","Aves","","Charadriiformes","","Recurvirostridae","Recurvirostra","americana"
"341","American Coot","free-living","Species",650,"Animalia","Chordata","Vertebrata","Aves","","Gruiformes","","Rallidae","Fulica","americana"
"342","American Crow","free-living","Species",399.5,"Animalia","Chordata","Vertebrata","Aves","","Passeriformes","","Corvidae","Corvus","brachyrhynchos"
"343","Belted Kingfisher","free-living","Species",148,"Animalia","Chordata","Vertebrata","Aves","","Coraciiformes","","Alcedinidae","Ceryle","alcyon"
"344","Bonaparte's Gull","free-living","Species",211,"Animalia","Chordata","Vertebrata","Aves","","Charadriiformes","","Laridae","Larus","philadelphia"
"345","Bufflehead","free-living","Species",401,"Animalia","Chordata","Vertebrata","Aves","","Anseriformes","","Anatidae","Bucephala","albeola"
"346","Blue-winged Teal","free-living","Species",364,"Animalia","Chordata","Vertebrata","Aves","","Anseriformes","","Anatidae","Anas","discors"
"347","Cinnamon Teal","free-living","Species",359,"Animalia","Chordata","Vertebrata","Aves","","Anseriformes","","Anatidae","Anas","cyanoptera"
"348","Cooper's Hawk","free-living","Species",360,"Animalia","Chordata","Vertebrata","Aves","","Falconiformes","","Accipitridae","Accipiter","cooperi"
"349","Green Heron","free-living","Species",241,"Animalia","Chordata","Vertebrata","Aves","","Ciconiiformes","","Ardeidae","Butorides","virescens"
"350","Green-winged Teal","free-living","Species",338,"Animalia","Chordata","Vertebrata","Aves","","Anseriformes","","Anatidae","Anas","crecca"
"351","Killdeer","free-living","Species",95,"Animalia","Chordata","Vertebrata","Aves","","Charadriiformes","","Chardridae","Chardrius","vociferus"
"352","Little Blue Heron","free-living","Species",340,"Animalia","Chordata","Vertebrata","Aves","","Ciconiiformes","","Ardeidae","Egretta","caerulea"
"353","Mallard","free-living","Species",1186.5,"Animalia","Chordata","Vertebrata","Aves","","Anseriformes","","Anatidae","Anas","platyrhynchos"
"354","Mew Gull","free-living","Species",480,"Animalia","Chordata","Vertebrata","Aves","","Charadriiformes","","Laridae","Larus","canus"
"355","Ruddy Duck","free-living","Species",560,"Animalia","Chordata","Vertebrata","Aves","","Anseriformes","","Anatidae","Oxyura","jamaicensis"
"356","Semipalmated Plover","free-living","Species",46.95,"Animalia","Chordata","Vertebrata","Aves","","Charadriiformes","","Chardridae","Charadrius","semipalmatus"
"357","Spotted Sandpiper","free-living","Species",44.1,"Animalia","Chordata","Vertebrata","Aves","","Charadriiformes","","Scolopacidae","Actitus","macularia"
"358","Surf Scoter","free-living","Species",950,"Animalia","Chordata","Vertebrata","Aves","","Anseriformes","","Anatidae","Melanitta","perspicillata"
"359","Turkey Vulture","free-living","Species",1430,"Animalia","Chordata","Vertebrata","Aves","","Falconiformes","","Cathartidae","Catjartes","aura"
"360","Western Grebe","free-living","Species",1314,"Animalia","Chordata","Vertebrata","Aves","","Podicipediformes","","Podicipedidae","Aechmophorus","occidentalis"
"361","Raccoon","free-living","Species",6000,"Animalia","Chordata","Vertebrata","Mammalia","","Carnivora","","Procyonidae","Procyon","locator"
"362","Salt Marsh Bird's Beak","infectious","Species",NA,"Plantae","","","","","","","Scrophulariaceae","Cordylanthus","maritimus"
"363","Dodder","infectious","Species",NA,"Plantae","","","","","","","Convolvulaceae","Cuscuta","salina"
"364","Picornavirus","infectious","Species",NA,"Virus","","","","","","","","",""
"365","ciliates.Assiminea","infectious","Species",NA,"Protozoa","Ciliophora","","","","","","","",""
"366","ciliates.Polydora","infectious","Species",NA,"Protozoa","Ciliophora","","","","","","","",""
"367","gregarine-Ccap","infectious","Species",NA,"Protozoa","Apicomplexa","","","Gregarinea","","","","",""
"368","Henneguya","infectious","Species",NA,"Animalia","Myxozoa","","","","","","","",""
"369","mc aorta","infectious","Species",NA,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Microphallidae","",""
"370","mc unk acteo","infectious","Species",NA,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","","",""
"371","Parvatrema sp.","infectious","Species",3e-06,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Gymnophallidae","Parvatrema","sp."
"372","unk c","infectious","Species",NA,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","","",""
"373","Acanthoparyphium spinulosum","infectious","Species",0.04343062,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Echinostomatidae","Acanthoparyphium","spinulosum"
"374","microphallid-assiminea","infectious","Species",0.0004309,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Microphallidae","",""
"375","Austrobilharzia sp.","infectious","Species",0.04890922,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Schistosomatidae","Austrobilharzia","sp."
"376","Catatropis johnstoni","infectious","Species",0.03948466,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Notocotylidae","Catatropis","johnstoni"
"377","Cloacitrema michiganiensis","infectious","Species",0.05809193,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Philophthalmidae","Cloacitrema","michiganiensis"
"378","Euhaplorchis californiensis","infectious","Species",0.04177776,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Heterophyidae","Euhaplorchis","californiensis"
"379","Himasthla rhigedana","infectious","Species",0.0536798,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Echinostomatidae","Himasthla","rhigedana"
"380","Himasthla B","infectious","Species",0.05438456,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Echinostomatidae","Himasthla","B"
"381","Hysterolecitha trilocalis","infectious","Species",0.00048544,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Hemiuridae","Hysterolecitha","trilocalis"
"382","Renicola sp.","infectious","Species",0.04351237,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Renicolidae","Renicola","sp."
"383","Mesostephanus appendiculatus","infectious","Species",0.04300827,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Cyathocotylidae","Mesostephanus","appendiculatus"
"384","Parorchis acanthus","infectious","Species",0.0665,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Philophthalmidae","Parorchis","acanthus"
"385","Phocitremoides ovale","infectious","Species",0.0336,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Heterophyidae","Phocitremoides","ovale"
"386","Probolocoryphe species A","infectious","Species",0.09457275,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Microphallidae","Probolocoryphe","species A"
"387","Pygidiopsoides spindalis","infectious","Species",0.03579704,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Heterophyidae","Pygidiopsoides","spindalis"
"388","Renicola buchanani","infectious","Species",0.03633873,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Renicolidae","Renicola","buchanani"
"389","Renicola cerithidicola","infectious","Species",0.0369169,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Renicolidae","Renicola","cerithidicola"
"390","small cyathocotylid","infectious","Species",0.03824933,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Cyathocotylidae","",""
"391","Stictodora hancocki","infectious","Species",0.0360053,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Heterophyidae","Stictodora","hancocki"
"392","mc aorta","free-living","Species",NA,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Microphallidae","",""
"393","mc unk acteo","free-living","Species",NA,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","","",""
"394","Parvatrema sp.","free-living","Species",8.27e-07,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Gymnophallidae","Parvatrema","sp."
"395","unk c","free-living","Species",NA,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","","",""
"396","microphallid-assiminea","infectious","Species",0.000101,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Microphallidae","",""
"397","mc aorta","infectious","Species",5.28e-05,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Microphallidae","",""
"398","mc unk acteo","infectious","Species",5.23e-05,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","","",""
"399","Parvatrema sp.","infectious","Species",1.7e-06,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Gymnophallidae","Parvatrema","sp."
"400","unk c","infectious","Species",1.7e-06,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","","",""
"401","tetraphyllidean larva","infectious","Species",NA,"Animalia","Platyhelminthes","","Cestoda","","Tetraphyllidea","","","",""
"402","trypanorhynch-grapsid","infectious","Species",NA,"Animalia","Platyhelminthes","","Cestoda","","Trypanorhyncha","","","",""
"403","pseudophyllidean-fish","infectious","Species",5.76e-06,"Animalia","Platyhelminthes","","Cestoda","","Pseudophyllidea","","","",""
"404","tetraphyllidean larva","infectious","Species",8.52e-05,"Animalia","Platyhelminthes","","Cestoda","","Tetraphyllidea","","","",""
"405","tetraphyllidean-fish","infectious","Species",3.645e-05,"Animalia","Platyhelminthes","","Cestoda","","Tetraphyllidea","","","",""
"406","trypanorhynch-grapsid","infectious","Species",8.52e-05,"Animalia","Platyhelminthes","","Cestoda","","Trypanorhyncha","","","",""
"407","Baylisascaris procyonis","infectious","Species",5.4,"Animalia","Nematoda","","","","Ascaridida","","Ascaridididae","Baylisascaris","procyonis"
"408","Spirocamallanus pereirae","infectious","Species",0.00117241,"Animalia","Nematoda","","","","Spirurida","","Camallanidae","Spirocamallanus","pereirae"
"409","Ascarophis? (Neotrypaea)","infectious","Species",0.000241,"Animalia","Nematoda","","","","","","","",""
